FIR_ID,DateTime,Crime_Type,Area,Latitude,Longitude,Severity,Status,Date,Hour,Day_of_Week,Month,Year
FIR-2024-000004,2024-01-01 01:33:00,Assault,Majestic,12.979894,77.573493,4,Under Investigation,2024-01-01,1,Monday,1,2024
FIR-2024-000021,2024-01-01 02:20:00,Vehicle Theft,Rajajinagar,12.979163,77.547994,3,Under Investigation,2024-01-01,2,Monday,1,2024
FIR-2024-000026,2024-01-01 02:38:00,Vehicle Theft,Malleshwaram,13.006374,77.582508,3,Closed - Convicted,2024-01-01,2,Monday,1,2024
FIR-2024-000009,2024-01-01 02:45:00,Assault,Marathahalli,12.953694,77.707738,4,Chargesheeted,2024-01-01,2,Monday,1,2024
FIR-2024-000012,2024-01-01 03:25:00,Vehicle Theft,Electronic City,12.852187,77.657756,3,Closed - Untraced,2024-01-01,3,Monday,1,2024
FIR-2024-000025,2024-01-01 03:41:00,Vehicle Theft,Banashankari,12.927868,77.543825,3,Chargesheeted,2024-01-01,3,Monday,1,2024
FIR-2024-000010,2024-01-01 03:58:00,Assault,Marathahalli,12.94835,77.698049,4,Chargesheeted,2024-01-01,3,Monday,1,2024
FIR-2024-000018,2024-01-01 06:49:00,House Burglary,Peenya,13.035433,77.515054,4,Chargesheeted,2024-01-01,6,Monday,1,2024
FIR-2024-000017,2024-01-01 07:04:00,Mobile Snatching,Peenya,13.027205,77.515168,2,Chargesheeted,2024-01-01,7,Monday,1,2024
FIR-2024-000003,2024-01-01 08:05:00,Mobile Snatching,Majestic,12.970947,77.576571,2,Chargesheeted,2024-01-01,8,Monday,1,2024
FIR-2024-000007,2024-01-01 09:14:00,Mobile Snatching,KR Market,12.964518,77.588895,2,Under Investigation,2024-01-01,9,Monday,1,2024
FIR-2024-000023,2024-01-01 10:53:00,Cybercrime Fraud,MG Road,12.986166,77.612867,3,Chargesheeted,2024-01-01,10,Monday,1,2024
FIR-2024-000022,2024-01-01 11:31:00,Cybercrime Fraud,Frazer Town,12.999897,77.599851,3,Under Investigation,2024-01-01,11,Monday,1,2024
FIR-2024-000002,2024-01-01 11:41:00,Chain Snatching,Majestic,12.981976,77.575967,3,Chargesheeted,2024-01-01,11,Monday,1,2024
FIR-2024-000014,2024-01-01 12:16:00,Cheating,HSR Layout,12.911274,77.642162,2,Under Investigation,2024-01-01,12,Monday,1,2024
FIR-2024-000008,2024-01-01 14:40:00,House Burglary,KR Market,12.961802,77.583148,4,Chargesheeted,2024-01-01,14,Monday,1,2024
FIR-2024-000013,2024-01-01 14:48:00,Cybercrime Fraud,Electronic City,12.836258,77.655631,3,Chargesheeted,2024-01-01,14,Monday,1,2024
FIR-2024-000024,2024-01-01 16:14:00,House Burglary,Jayanagar,12.934435,77.574917,4,Closed - Untraced,2024-01-01,16,Monday,1,2024
FIR-2024-000016,2024-01-01 18:53:00,Vehicle Theft,Peenya,13.040063,77.523288,3,Closed - Convicted,2024-01-01,18,Monday,1,2024
FIR-2024-000020,2024-01-01 19:01:00,Cheating,Hebbal,13.033214,77.583829,2,Closed - Untraced,2024-01-01,19,Monday,1,2024
FIR-2024-000006,2024-01-01 19:44:00,Chain Snatching,KR Market,12.957544,77.588216,3,Closed - Untraced,2024-01-01,19,Monday,1,2024
FIR-2024-000011,2024-01-01 20:39:00,Vehicle Theft,Whitefield,12.97004,77.76762,3,Chargesheeted,2024-01-01,20,Monday,1,2024
FIR-2024-000028,2024-01-01 20:48:00,Assault,Bommanahalli,12.894031,77.620696,4,Chargesheeted,2024-01-01,20,Monday,1,2024
FIR-2024-000005,2024-01-01 21:55:00,Assault,Majestic,12.974262,77.568227,4,Under Investigation,2024-01-01,21,Monday,1,2024
FIR-2024-000001,2024-01-01 22:05:00,Vehicle Theft,Majestic,12.964994,77.563487,3,Closed - Convicted,2024-01-01,22,Monday,1,2024
